filter_output;filtfilt_output
-0.025685102;-0.003496001
-0.011741504;0.00306204
-0.0120697;0.00683742
-0.002657702;0.01046306
-0.024476999;0.01218981
-0.005523399;0.015867639
0.0004736;0.01701157
0.016886001;0.016449409
0.029834798;0.013993979
0.0398953;0.010267779
0.0260123;0.00616956
0.024186701;0.00424864
0.0146098;0.00207839
0.012301301;0.00128473
0.0059159;0.00155544
-0.005148;0.00272774
-0.007668301;0.00469706
-0.0074272;0.00732507
-0.001086901;0.009934709
0.006803101;0.0109558
0.002484199;0.013115691
0.006673201;0.01477123
0.015008399;0.01550911
0.017638899;0.013433989
0.0145452;0.0115663
0.0186118;0.01149193
0.018669199;0.01155974
0.009124;0.014504749
0.028402003;0.020783192
0.019039599;0.025746712
0.014051999;0.032259356
-0.005742801;0.041649666
-0.001038;0.055902395
0.0138015;0.070233487
